,Bird,City1-Latitude,City1-Longitude,City2-Latitude,City2-Longitude,City3-Latitude,City3-Longitude,City4-Latitude,City4-Longitude,City5-Latitude,City5-Longitude,City6-Latitude,City6-Longitude
138,Megascops_trichopsis,19.292545,-99.6569007,19.7027116,-101.1923818,19.4326296,-99.1331785,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
139,Nectarinia_tacazze,1.018076,35.000236,-0.4192962,36.9517005,-0.2802724,36.0712048,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
140,Neophema_pulchella,-34.8741198,150.6004709,-35.2975906,149.1012676,-37.8142176,144.9631608,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
141,Onychognathus_morio,-26.7150922,27.1013887,-26.8625383,26.6656814,-27.982298,26.737969,-28.7383012,24.7642251,46.3144754,11.0480288,46.3144754,11.0480288
142,Passer_domesticus,-43.2531242,-65.3094407,-51.6177331,-69.2059514,-51.64607595,-69.26322885,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
143,Porphyrio_porphyrio,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
144,Ramphastos_tucanus,-15.5986686,-56.0991301,-14.8349438,-64.9044936,-17.7834936,-63.1820853,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
145,Selenidera_maculirostris,-27.5973002,-48.5496098,-28.471488,-49.014132,-28.6789941,-49.3695627,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
146,Syrmaticus_humiae,8.72953,77.6852,8.5241122,76.9360573,8.1880471,77.4290492,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
147,Thryothorus_ludovicianus,18.5145865,-88.3005528,17.250199,-88.770018,17.5000543,-88.2003115,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
148,Turnix_suscitator,-6.1753942,106.827183,-7.2459717,112.7378266,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
149,Urocolius_macrourus,-6.8160837,39.2803583,-7.0536105,38.07965971,-7.5662122,35.07448089,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
